city,state,latitude,longitude,population
Pompano Beach,FL,26.2428,-80.1312,111202
Akron,OH,41.0798,-81.5219,570375
Merced,CA,37.3057,-120.4779,147690
Concord,NC,35.3933,-80.6369,236626
Bayamon,PR,18.3794,-66.1635,157517
Indio,CA,33.7346,-116.2346,367174
Bend,OR,44.0563,-121.3095,107460
Henderson,NV,36.0133,-115.0381,309955
Dover,DE,39.161,-75.5202,125931
Independence,MO,39.0871,-94.3501,117139
Johnson City,TN,36.3406,-82.3806,126265
Bonita Springs,FL,26.3558,-81.7859,347581
Texas City,TX,29.4154,-94.9682,122017
Cape Coral,FL,26.6443,-81.9957,649339
Fayetteville,AR,36.0714,-94.1661,350995
Bremerton,WA,47.5436,-122.7121,219538
Anchorage,AK,61.1508,-149.1091,248902
Philadelphia,PA,40.0077,-75.1339,5540199
Beaumont,TX,30.0849,-94.1451,142759
Concord,CA,37.9722,-122.0016,667250
Tuscaloosa,AL,33.2348,-87.5268,149302
Augusta,GA,33.3645,-82.0708,404125
Elkhart,IN,41.6916,-85.9627,147679
Chico,CA,39.7578,-121.8161,113201
Toledo,OH,41.6638,-83.5827,498645
Torrance,CA,33.8346,-118.3416,144430
Olympia,WA,47.0417,-122.8959,200836
Flint,MI,43.0236,-83.6921,339283
Indianapolis,IN,39.7771,-86.1458,1636763
Sterling Heights,MI,42.5809,-83.0305,132296
Carlsbad,CA,33.1246,-117.2834,114411
Redding,CA,40.5698,-122.365,120370
Norwalk,CA,33.9069,-118.0829,104524
Houma,LA,29.58,-90.7059,146665
Rialto,CA,34.1175,-117.3892,103549
Mesquite,TX,32.7602,-96.5865,142429
Lynchburg,VA,37.4003,-79.1909,125710
Escondido,CA,33.1348,-117.0723,150396
Midland,TX,32.0243,-102.1147,140111
Columbus,OH,39.9862,-82.9855,1547862
Fort Wayne,IN,41.0888,-85.1436,329170
Hillsboro,OR,45.5273,-122.936,108026
Lewisville,TX,33.0454,-96.9815,107740
Jersey City,NJ,40.7184,-74.0686,262652
Racine,WI,42.7274,-87.8135,134679
High Point,NC,35.991,-79.9937,173324
Miami Gardens,FL,25.9433,-80.2426,110767
Hayward,CA,37.6328,-122.0766,158817
Deltona,FL,28.905,-81.2137,205914
Raleigh,NC,35.8324,-78.6429,1073795
Kansas City,KS,39.1235,-94.7443,153014
Santa Ana,CA,33.7367,-117.8819,332610
Panama City,FL,30.1995,-85.6003,149366
Rochester,NY,43.168,-77.6162,720189
Pomona,CA,34.0585,-117.7626,151124
Roanoke,VA,37.2785,-79.9581,216388
Murrieta,CA,33.5719,-117.1909,524133
San Juan,PR,18.3985,-66.061,1854549
North Port,FL,27.0576,-82.1977,195848
Oakland,CA,37.7904,-122.2166,422575
Burlington,VT,44.4876,-73.2316,115682
Cincinnati,OH,39.1413,-84.506,1684800
Longmont,CO,40.1686,-105.1005,100146
Irving,TX,32.8583,-96.9702,240475
Port St. Lucie,FL,27.2796,-80.3884,435182
Lehigh Acres,FL,26.612,-81.6388,124523
Allentown,PA,40.5961,-75.4756,688658
Boston,MA,42.3188,-71.0852,4465966
Columbus,GA,32.51,-84.8771,249510
Berkeley,CA,37.8722,-122.276,123065
Louisville,KY,38.1663,-85.6485,1004821
West Jordan,UT,40.6024,-112.0008,115181
Peoria,AZ,33.7843,-112.2989,172109
Nampa,ID,43.5844,-116.5638,181887
Dayton,OH,39.7805,-84.2003,723844
Champaign,IL,40.1142,-88.2737,152940
Greeley,CO,40.4152,-104.7706,134417
Lafayette,LA,30.2082,-92.0325,263551
Thornton,CO,39.9197,-104.9438,144186
Jacksonville,NC,34.7289,-77.3941,107890
San German,PR,18.0827,-67.046,103747
Olathe,KS,38.8833,-94.82,139216
Palmdale,CA,34.5944,-118.1057,153240
Montgomery,AL,32.3482,-86.2668,253540
Worcester,MA,42.2705,-71.8079,516483
Mauldin,SC,34.7821,-82.3032,149687
Washington,DC,38.9047,-77.0163,5066973
Aurora,CO,39.7083,-104.7237,379434
Charlotte,NC,35.2083,-80.8303,1526465
San Tan Valley,AZ,33.1786,-111.5629,104936
Idaho Falls,ID,43.4871,-112.0362,101326
Clovis,CA,36.8278,-119.683,112663
Charlottesville,VA,38.0375,-78.4855,102164
Phoenix,AZ,33.5722,-112.0892,4187723
Clearwater,FL,27.979,-82.7623,115975
Avondale,AZ,33.3873,-112.3235,247103
Kalamazoo,MI,42.2749,-85.5882,220561
Santa Cruz,CA,36.9789,-122.0346,165933
Canton,OH,40.8078,-81.3676,277769
St. Paul,MN,44.9478,-93.1039,305877
New Bedford,MA,41.6697,-70.9428,149570
Sandy Springs,GA,33.9366,-84.3703,108180
El Centro,CA,32.7865,-115.5595,110434
Rockford,IL,42.2596,-89.064,280337
Winter Haven,FL,28.0118,-81.7014,240768
North Las Vegas,NV,36.2883,-115.0888,247248
Kissimmee,FL,28.3041,-81.4169,366003
Tyler,TX,32.3184,-95.3062,143616
Surprise,AZ,33.6815,-112.4515,139007
Irvine,CA,33.6772,-117.7738,272694
Rochester,MN,44.0154,-92.478,116962
Elk Grove,CA,38.4161,-121.3842,173370
Spartanburg,SC,34.9442,-81.9251,216021
Meridian,ID,43.6116,-116.3977,107787
Fontana,CA,34.0968,-117.4599,212704
Chandler,AZ,33.2825,-111.8514,257076
Bellevue,WA,47.5951,-122.1535,146145
Las Vegas,NV,36.2333,-115.2654,2165405
Elizabeth,NJ,40.6658,-74.1913,128484
Youngstown,OH,41.0993,-80.6463,363541
Medford,OR,42.3372,-122.854,171660
Boise,ID,43.6005,-116.2308,407550
Fremont,CA,37.5265,-121.9843,234829
Arlington,TX,32.6998,-97.125,397269
Fullerton,CA,33.8841,-117.9279,141061
San Buenaventura,CA,34.2741,-119.2314,108467
Columbia,MD,39.2004,-76.859,105412
Orlando,FL,28.4773,-81.337,1792047
Ponce,PR,18.0127,-66.6212,118641
Carrollton,TX,32.989,-96.8999,137319
Hemet,CA,33.7341,-116.9969,180380
Appleton,WI,44.278,-88.3892,225728
